Year,Office,District,Candidate|Party,Votes,Pct
2022,County Commissioner District 2,Hennepin County (all),Irene Fernando|NP,44725,98.46
2022,County Commissioner District 2,Hennepin County (all),WRITE-IN|WI,699,1.54
2022,County Commissioner District 3,Hennepin County (all),Marion Greene|NP,43175,69.7
2022,County Commissioner District 3,Hennepin County (all),Ashley Boldin|NP,18338,29.6
2022,County Commissioner District 3,Hennepin County (all),WRITE-IN|WI,433,0.7
2022,County Commissioner District 4,Hennepin County (all),Angela Conley|NP,42287,98.54
2022,County Commissioner District 4,Hennepin County (all),WRITE-IN|WI,626,1.46
2022,State Senator District 46,Hennepin County (all),Ron Latz|DFL,31027,97.26
2022,State Senator District 46,Hennepin County (all),WRITE-IN|WI,874,2.74
2022,State Representative District 43A,Hennepin County (all),Cedrick R. Frazier|DFL,12266,96.64
2022,State Representative District 43A,Hennepin County (all),WRITE-IN|WI,427,3.36
2022,State Representative District 43B,Hennepin County (all),Mike Freiberg|DFL,17141,97.53
2022,State Representative District 43B,Hennepin County (all),WRITE-IN|WI,434,2.47
2022,Governor & Lt Governor,Hennepin County Commission District 2,Tim Walz and Peggy Flanagan|DFL,57375,76.17
2022,Governor & Lt Governor,Hennepin County Commission District 2,Scott Jensen and Matt Birk|R,15547,20.64
2022,Governor & Lt Governor,Hennepin County Commission District 2,James McCaskel and David Sandbeck|LMN,948,1.26
2022,Governor & Lt Governor,Hennepin County Commission District 2,Steve Patterson and Matt Huff|GLC,578,0.77
2022,Governor & Lt Governor,Hennepin County Commission District 2,Hugh McTavish and Mike Winter|IA,440,0.58
2022,Governor & Lt Governor,Hennepin County Commission District 2,Gabrielle M. Prosser and Kevin A. Dwire|SWP,404,0.54
2022,Governor & Lt Governor,Hennepin County Commission District 2,WRITE-IN|WI,36,0.05
2022,Attorney General,Hennepin County Commission District 2,Keith Ellison|DFL,56032,74.96
2022,Attorney General,Hennepin County Commission District 2,Jim Schultz|R,18595,24.88
2022,Attorney General,Hennepin County Commission District 2,WRITE-IN|WI,123,0.16
2022,County Attorney,Hennepin County Commission District 2,Mary Moriarty|NP,34535,59.17
2022,County Attorney,Hennepin County Commission District 2,Martha Holton Dimick|NP,23440,40.16
2022,County Attorney,Hennepin County Commission District 2,WRITE-IN|WI,389,0.67
2022,County Commissioner District 2,Hennepin County Commission District 2,Irene Fernando|NP,44725,98.46
2022,County Commissioner District 2,Hennepin County Commission District 2,WRITE-IN|WI,699,1.54
2022,State Representative District 43B,Hennepin County Commission District 2,Mike Freiberg|DFL,11182,97.74
2022,State Representative District 43B,Hennepin County Commission District 2,WRITE-IN|WI,258,2.26
2022,Governor & Lt Governor,Hennepin County Commission District 3,Tim Walz and Peggy Flanagan|DFL,76223,84.8
2022,Governor & Lt Governor,Hennepin County Commission District 3,Scott Jensen and Matt Birk|R,11192,12.45
2022,Governor & Lt Governor,Hennepin County Commission District 3,James McCaskel and David Sandbeck|LMN,835,0.93
2022,Governor & Lt Governor,Hennepin County Commission District 3,Steve Patterson and Matt Huff|GLC,587,0.65
2022,Governor & Lt Governor,Hennepin County Commission District 3,Gabrielle M. Prosser and Kevin A. Dwire|SWP,583,0.65
2022,Governor & Lt Governor,Hennepin County Commission District 3,Hugh McTavish and Mike Winter|IA,426,0.47
2022,Governor & Lt Governor,Hennepin County Commission District 3,WRITE-IN|WI,41,0.05
2022,Attorney General,Hennepin County Commission District 3,Keith Ellison|DFL,74579,83.54
2022,Attorney General,Hennepin County Commission District 3,Jim Schultz|R,14578,16.33
2022,Attorney General,Hennepin County Commission District 3,WRITE-IN|WI,121,0.14
2022,County Attorney,Hennepin County Commission District 3,Mary Moriarty|NP,42260,59.83
2022,County Attorney,Hennepin County Commission District 3,Martha Holton Dimick|NP,28044,39.71
2022,County Attorney,Hennepin County Commission District 3,WRITE-IN|WI,325,0.46
2022,County Commissioner District 3,Hennepin County Commission District 3,Marion Greene|NP,43175,69.7
2022,County Commissioner District 3,Hennepin County Commission District 3,Ashley Boldin|NP,18338,29.6
2022,County Commissioner District 3,Hennepin County Commission District 3,WRITE-IN|WI,433,0.7
2022,State Senator District 46,Hennepin County Commission District 3,Ron Latz|DFL,19600,97.76
2022,State Senator District 46,Hennepin County Commission District 3,WRITE-IN|WI,450,2.24
2022,Governor & Lt Governor,Hennepin County Commission District 4,Tim Walz and Peggy Flanagan|DFL,61204,86.76
2022,Governor & Lt Governor,Hennepin County Commission District 4,Scott Jensen and Matt Birk|R,6890,9.77
2022,Governor & Lt Governor,Hennepin County Commission District 4,James McCaskel and David Sandbeck|LMN,856,1.21
2022,Governor & Lt Governor,Hennepin County Commission District 4,Gabrielle M. Prosser and Kevin A. Dwire|SWP,631,0.89
2022,Governor & Lt Governor,Hennepin County Commission District 4,Steve Patterson and Matt Huff|GLC,578,0.82
2022,Governor & Lt Governor,Hennepin County Commission District 4,Hugh McTavish and Mike Winter|IA,346,0.49
2022,Governor & Lt Governor,Hennepin County Commission District 4,WRITE-IN|WI,40,0.06
2022,Attorney General,Hennepin County Commission District 4,Keith Ellison|DFL,61357,87.47
2022,Attorney General,Hennepin County Commission District 4,Jim Schultz|R,8692,12.39
2022,Attorney General,Hennepin County Commission District 4,WRITE-IN|WI,99,0.14
2022,County Attorney,Hennepin County Commission District 4,Mary Moriarty|NP,38619,68.76
2022,County Attorney,Hennepin County Commission District 4,Martha Holton Dimick|NP,17247,30.71
2022,County Attorney,Hennepin County Commission District 4,WRITE-IN|WI,299,0.53
2022,County Commissioner District 4,Hennepin County Commission District 4,Angela Conley|NP,42287,98.54
2022,County Commissioner District 4,Hennepin County Commission District 4,WRITE-IN|WI,626,1.46
2022,Governor & Lt Governor,Ramsey County Commission District 5,Tim Walz and Peggy Flanagan|DFL,26612,80.76
2022,Governor & Lt Governor,Ramsey County Commission District 5,Scott Jensen and Matt Birk|R,5257,15.95
2022,Governor & Lt Governor,Ramsey County Commission District 5,James McCaskel and David Sandbeck|LMN,385,1.17
2022,Governor & Lt Governor,Ramsey County Commission District 5,Steve Patterson and Matt Huff|GLC,324,0.98
2022,Governor & Lt Governor,Ramsey County Commission District 5,Gabrielle M. Prosser and Kevin A. Dwire|SWP,200,0.61
2022,Governor & Lt Governor,Ramsey County Commission District 5,Hugh McTavish and Mike Winter|IA,150,0.46
2022,Governor & Lt Governor,Ramsey County Commission District 5,WRITE-IN|WI,22,0.07
2022,Attorney General,Ramsey County Commission District 5,Keith Ellison|DFL,26023,79.95
2022,Attorney General,Ramsey County Commission District 5,Jim Schultz|R,6470,19.88
2022,Attorney General,Ramsey County Commission District 5,WRITE-IN|WI,57,0.18
2022,County Attorney,Ramsey County Commission District 5,John J. Choi|NP,20568,97.33
2022,County Attorney,Ramsey County Commission District 5,WRITE-IN|WI,565,2.67
2022,County Commissioner District 5,Ramsey County Commission District 5,Rafael E. Ortega|NP,18497,70.82
2022,County Commissioner District 5,Ramsey County Commission District 5,Bill Hosko|NP,7455,28.54
2022,County Commissioner District 5,Ramsey County Commission District 5,WRITE-IN|WI,168,0.64
2022,Governor & Lt Governor,Ramsey County Commission District 6,Tim Walz and Peggy Flanagan|DFL,12647,69.42
2022,Governor & Lt Governor,Ramsey County Commission District 6,Scott Jensen and Matt Birk|R,4452,24.44
2022,Governor & Lt Governor,Ramsey County Commission District 6,James McCaskel and David Sandbeck|LMN,445,2.44
2022,Governor & Lt Governor,Ramsey County Commission District 6,Steve Patterson and Matt Huff|GLC,397,2.18
2022,Governor & Lt Governor,Ramsey County Commission District 6,Hugh McTavish and Mike Winter|IA,145,0.8
2022,Governor & Lt Governor,Ramsey County Commission District 6,Gabrielle M. Prosser and Kevin A. Dwire|SWP,122,0.67
2022,Governor & Lt Governor,Ramsey County Commission District 6,WRITE-IN|WI,11,0.06
2022,Attorney General,Ramsey County Commission District 6,Keith Ellison|DFL,12553,70.32
2022,Attorney General,Ramsey County Commission District 6,Jim Schultz|R,5269,29.52
2022,Attorney General,Ramsey County Commission District 6,WRITE-IN|WI,29,0.16
2022,County Attorney,Ramsey County Commission District 6,John J. Choi|NP,11474,96.72
2022,County Attorney,Ramsey County Commission District 6,WRITE-IN|WI,389,3.28
2022,County Commissioner District 6,Ramsey County Commission District 6,Mai Chong Xiong|NP,7993,50.17
2022,County Commissioner District 6,Ramsey County Commission District 6,Ying Vang-Pao|NP,7780,48.83
2022,County Commissioner District 6,Ramsey County Commission District 6,WRITE-IN|WI,160,1.0
2022,Governor & Lt Governor,State Senator District 46 (Hennepin),Tim Walz and Peggy Flanagan|DFL,30302,73.66
2022,Governor & Lt Governor,State Senator District 46 (Hennepin),Scott Jensen and Matt Birk|R,9863,23.98
2022,Governor & Lt Governor,State Senator District 46 (Hennepin),James McCaskel and David Sandbeck|LMN,334,0.81
2022,Governor & Lt Governor,State Senator District 46 (Hennepin),Steve Patterson and Matt Huff|GLC,262,0.64
2022,Governor & Lt Governor,State Senator District 46 (Hennepin),Hugh McTavish and Mike Winter|IA,247,0.6
2022,Governor & Lt Governor,State Senator District 46 (Hennepin),Gabrielle M. Prosser and Kevin A. Dwire|SWP,111,0.27
2022,Governor & Lt Governor,State Senator District 46 (Hennepin),WRITE-IN|WI,18,0.04
2022,Attorney General,State Senator District 46 (Hennepin),Keith Ellison|DFL,28876,70.88
2022,Attorney General,State Senator District 46 (Hennepin),Jim Schultz|R,11814,29.0
2022,Attorney General,State Senator District 46 (Hennepin),WRITE-IN|WI,51,0.13
2022,County Attorney,State Senator District 46 (Hennepin),Mary Moriarty|NP,16494,55.49
2022,County Attorney,State Senator District 46 (Hennepin),Martha Holton Dimick|NP,13042,43.88
2022,County Attorney,State Senator District 46 (Hennepin),WRITE-IN|WI,186,0.63
2022,County Commissioner District 3,State Senator District 46 (Hennepin),Marion Greene|NP,9764,61.87
2022,County Commissioner District 3,State Senator District 46 (Hennepin),Ashley Boldin|NP,5905,37.42
2022,County Commissioner District 3,State Senator District 46 (Hennepin),WRITE-IN|WI,113,0.72
2022,State Senator District 46,State Senator District 46 (Hennepin),Ron Latz|DFL,31027,97.26
2022,State Senator District 46,State Senator District 46 (Hennepin),WRITE-IN|WI,874,2.74
2022,Governor & Lt Governor,State House 43A (Hennepin),Tim Walz and Peggy Flanagan|DFL,11570,67.69
2022,Governor & Lt Governor,State House 43A (Hennepin),Scott Jensen and Matt Birk|R,4955,28.99
2022,Governor & Lt Governor,State House 43A (Hennepin),James McCaskel and David Sandbeck|LMN,218,1.28
2022,Governor & Lt Governor,State House 43A (Hennepin),Steve Patterson and Matt Huff|GLC,165,0.97
2022,Governor & Lt Governor,State House 43A (Hennepin),Hugh McTavish and Mike Winter|IA,124,0.73
2022,Governor & Lt Governor,State House 43A (Hennepin),Gabrielle M. Prosser and Kevin A. Dwire|SWP,54,0.32
2022,Governor & Lt Governor,State House 43A (Hennepin),WRITE-IN|WI,6,0.04
2022,Attorney General,State House 43A (Hennepin),Keith Ellison|DFL,11107,65.64
2022,Attorney General,State House 43A (Hennepin),Jim Schultz|R,5789,34.21
2022,Attorney General,State House 43A (Hennepin),WRITE-IN|WI,26,0.15
2022,County Attorney,State House 43A (Hennepin),Mary Moriarty|NP,7542,58.8
2022,County Attorney,State House 43A (Hennepin),Martha Holton Dimick|NP,5184,40.41
2022,County Attorney,State House 43A (Hennepin),WRITE-IN|WI,101,0.79
2022,State Representative District 43A,State House 43A (Hennepin),Cedrick R. Frazier|DFL,12266,96.64
2022,State Representative District 43A,State House 43A (Hennepin),WRITE-IN|WI,427,3.36
2022,Governor & Lt Governor,State House 43B (Hennepin),Tim Walz and Peggy Flanagan|DFL,16314,75.14
2022,Governor & Lt Governor,State House 43B (Hennepin),Scott Jensen and Matt Birk|R,4849,22.33
2022,Governor & Lt Governor,State House 43B (Hennepin),James McCaskel and David Sandbeck|LMN,203,0.93
2022,Governor & Lt Governor,State House 43B (Hennepin),Steve Patterson and Matt Huff|GLC,143,0.66
2022,Governor & Lt Governor,State House 43B (Hennepin),Hugh McTavish and Mike Winter|IA,133,0.61
2022,Governor & Lt Governor,State House 43B (Hennepin),Gabrielle M. Prosser and Kevin A. Dwire|SWP,61,0.28
2022,Governor & Lt Governor,State House 43B (Hennepin),WRITE-IN|WI,9,0.04
2022,Attorney General,State House 43B (Hennepin),Keith Ellison|DFL,15673,72.81
2022,Attorney General,State House 43B (Hennepin),Jim Schultz|R,5831,27.09
2022,Attorney General,State House 43B (Hennepin),WRITE-IN|WI,22,0.1
2022,County Attorney,State House 43B (Hennepin),Mary Moriarty|NP,9340,55.54
