Ward,Candidate|Party,Votes,Pct,WardTotal
8,Charlie McCloud|NP,21,0.17,12235
8,Alejandro Richardson|NP,15,0.12,12235
8,Jeffrey Alan Wagner|NP,10,0.08,12235
8,Xavier Pauke|NP,9,0.07,12235
8,Kevin Ward|NP,7,0.06,12235
8,Troy A. Peterson|NP,5,0.04,12235
8,WRITE-IN|WI,5,0.04,12235
8,Adam Terzich|NP,3,0.02,12235
9,Omar Fateh|NP,3857,46.04,8378
9,Jacob Frey|NP,2099,25.05,8378
9,DeWayne Davis|NP,1505,17.96,8378
9,Jazz Hampton|NP,670,8.0,8378
9,Brenda Short|NP,71,0.85,8378
9,Laverne Turner|NP,54,0.64,8378
9,Charlie McCloud|NP,29,0.35,8378
9,Alejandro Richardson|NP,23,0.27,8378
9,Kevin Dwire|NP,19,0.23,8378
9,Kevin Ward|NP,14,0.17,8378
9,Jeffrey Alan Wagner|NP,11,0.13,8378
9,Andrea Revel|NP,9,0.11,8378
9,Xavier Pauke|NP,6,0.07,8378
9,WRITE-IN|WI,5,0.06,8378
9,Troy A. Peterson|NP,3,0.04,8378
9,Adam Terzich|NP,3,0.04,8378
10,Omar Fateh|NP,5744,50.65,11341
10,Jacob Frey|NP,2957,26.07,11341
10,DeWayne Davis|NP,1484,13.09,11341
10,Jazz Hampton|NP,921,8.12,11341
10,Brenda Short|NP,59,0.52,11341
10,Laverne Turner|NP,40,0.35,11341
10,Kevin Dwire|NP,35,0.31,11341
10,Andrea Revel|NP,32,0.28,11341
10,Charlie McCloud|NP,28,0.25,11341
10,WRITE-IN|WI,11,0.1,11341
10,Kevin Ward|NP,9,0.08,11341
10,Alejandro Richardson|NP,7,0.06,11341
10,Xavier Pauke|NP,4,0.04,11341
10,Troy A. Peterson|NP,4,0.04,11341
10,Jeffrey Alan Wagner|NP,3,0.03,11341
10,Adam Terzich|NP,3,0.03,11341
11,Jacob Frey|NP,7005,49.51,14150
11,Omar Fateh|NP,2577,18.21,14150
11,Jazz Hampton|NP,2243,15.85,14150
11,DeWayne Davis|NP,1963,13.87,14150
11,Laverne Turner|NP,102,0.72,14150
11,Brenda Short|NP,70,0.49,14150
11,Charlie McCloud|NP,56,0.4,14150
11,Andrea Revel|NP,42,0.3,14150
11,Jeffrey Alan Wagner|NP,23,0.16,14150
11,Alejandro Richardson|NP,19,0.13,14150
11,Kevin Ward|NP,17,0.12,14150
11,Kevin Dwire|NP,15,0.11,14150
11,WRITE-IN|WI,7,0.05,14150
11,Xavier Pauke|NP,4,0.03,14150
11,Adam Terzich|NP,4,0.03,14150
11,Troy A. Peterson|NP,3,0.02,14150
12,Jacob Frey|NP,6874,40.18,17106
12,Omar Fateh|NP,4131,24.15,17106
12,DeWayne Davis|NP,3618,21.15,17106
12,Jazz Hampton|NP,2084,12.18,17106
12,Laverne Turner|NP,93,0.54,17106
12,Brenda Short|NP,76,0.44,17106
12,Charlie McCloud|NP,64,0.37,17106
12,Andrea Revel|NP,41,0.24,17106
12,Kevin Dwire|NP,24,0.14,17106
